date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-11-14,,5277,,,,,,,,,,,
2019-11-15,,5341,,,,,,,,,,,
2019-11-18,,5288,,,,,,,,,,,
2019-11-19,,5486,,,,,,,,,,,
2019-11-20,,5356,,,,,,,,,,,
2019-11-21,,6104,,,,,,,,,,,
2019-11-22,,5569,,,,,,,,,,,
2019-11-25,,5937,,,,,,,,,,,
2019-11-26,,5804,,,,,,,,,,,
2019-11-27,,5664,,,,,,,,,,,
2019-11-28,,5726,,,,,,,,,,,
2019-11-29,,5993,,,,,,,,,,,
2019-12-02,,5906,,,,,,,,,,,
2019-12-03,,5274,,,,,,,,,,,
2019-12-04,,5434,,,,,,,,,,,
2019-12-05,,5068,,,,,,,,,,,
2019-12-06,,5293,,,,,,,,,,,
2019-12-09,,5122,,,,,,,,,,,
2019-12-10,,4765,,,,,,,,,,,
2019-12-11,,4981,,,,,,,,,,,
2019-12-12,,5482,,,,,,,,,,,
2019-12-13,,5574,,,,,,,,,,,
2019-12-16,,5490,,,,,,,,,,,
2019-12-17,,5530,,,,,,,,,,,
2019-12-18,,5377,,,,,,,,,,,
2019-12-19,,5420,,,,,,,,,,,
2019-12-20,,5828,,,,,,,,,,,
2019-12-23,,5632,,,,,,,,,,,
2019-12-24,,5677,,,,,,,,,,,
2019-12-25,,5786,,,,,,,,,,,
2019-12-26,,5736,,,,,,,,,,,
2019-12-27,,5851,,,,,,,,,,,
2019-12-30,,5839,,,,,,,,,,,
2020-01-03,,6295,,,,,,,,,,,
2020-01-06,,5975,,,,,,,,,,,
2020-01-08,,5887,,,,,,,,,,,
2020-01-09,,5768,,,,,,,,,,,
2020-01-10,,5643,,,,,,,,,,,
2020-01-13,,5567,,,,,,,,,,,
2020-01-14,,5501,,,,,,,,,,,
2020-01-15,,5295,,,,,,,,,,,
2020-01-16,,5549,,,,,,,,,,,
2020-01-17,,5670,,,,,,,,,,,
2020-01-20,,5590,,,,,,,,,,,
2020-01-21,,5374,,,,,,,,,,,
2020-01-22,,5007,,,,,,,,,,,
2020-01-23,,4156,,,,,,,,,,,
2020-01-24,,4043,,,,,,,,,,,
2020-01-27,,3614,,,,,,,,,,,
2020-01-28,,3705,,,,,,,,,,,
2020-01-29,,3309,,,,,,,,,,,
2020-01-30,,3331,,,,,,,,,,,
2020-01-31,,3031,,,,,,,,,,,
2020-02-03,,3049,,,,,,,,,,,
2020-02-04,,3192,,,,,,,,,,,
2020-02-05,,3467,,,,,,,,,,,
2020-02-06,,3386,,,,,,,,,,,
2020-02-07,,3210,,,,,,,,,,,
2020-02-10,,2921,,,,,,,,,,,
2020-02-11,,3563,,,,,,,,,,,
2020-02-12,,3934,,,,,,,,,,,
2020-02-13,,3626,,,,,,,,,,,
2020-02-14,,3422,,,,,,,,,,,
2020-02-17,,3537,,,,,,,,,,,
2020-02-18,,3328,,,,,,,,,,,
2020-02-19,,3388,,,,,,,,,,,
2020-02-20,,3600,,,,,,,,,,,
2020-02-21,,3479,,,,,,,,,,,
2020-02-25,,2825,,,,,,,,,,,
2020-02-26,,2841,,,,,,,,,,,
2020-02-27,,1983,,,,,,,,,,,
2020-02-28,,1723,,,,,,,,,,,
2020-03-02,,1404,,,,,,,,,,,
2020-03-03,,2038,,,,,,,,,,,
2020-03-04,,1730,,,,,,,,,,,
2020-03-05,,1596,,,,,,,,,,,
2020-03-06,,900,,,,,,,,,,,
2020-03-10,,790,,,,,,,,,,,
2020-03-11,,1108,,,,,,,,,,,
2020-03-12,,624,,,,,,,,,,,
2020-03-13,,489,,,,,,,,,,,
2020-03-16,,570,,,,,,,,,,,
2020-03-17,,644,,,,,,,,,,,
2020-03-18,,579,,,,,,,,,,,
2020-03-19,,860,,,,,,,,,,,
2020-03-20,,1057,,,,,,,,,,,
2020-03-23,,332,,,,,,,,,,,
2020-03-24,,394,,,,,,,,,,,
2020-03-25,,534,,,,,,,,,,,
2020-03-26,,537,,,,,,,,,,,
2020-03-27,,534,,,,,,,,,,,
2020-03-30,,539,,,,,,,,,,,
2020-03-31,,719,,,,,,,,,,,
2020-04-01,,558,,,,,,,,,,,
2020-04-02,,740,,,,,,,,,,,
2020-04-03,,659,,,,,,,,,,,
2020-04-06,,616,,,,,,,,,,,
2020-04-07,,810,,,,,,,,,,,
2020-04-08,,586,,,,,,,,,,,
2020-04-09,,808,,,,,,,,,,,
2020-04-10,,818,,,,,,,,,,,
2020-04-13,,403,,,,,,,,,,,
2020-04-14,,659,,,,,,,,,,,
2020-04-15,,537,,,,,,,,,,,
2020-04-16,,437,,,,,,,,,,,
2020-04-17,,484,,,,,,,,,,,
2020-04-20,,420,,,,,,,,,,,
2020-04-21,,360,,,,,,,,,,,
2020-04-22,,449,,,,,,,,,,,
2020-04-23,,389,,,,,,,,,,,
2020-04-24,,346,,,,,,,,,,,
2020-04-27,,305,,,,,,,,,,,
2020-04-28,,354,,,,,,,,,,,
2020-04-29,,516,,,,,,,,,,,
2020-04-30,,305,,,,,,,,,,,
2020-05-04,,369,,,,,,,,,,,
2020-05-05,,361,,,,,,,,,,,
2020-05-06,,352,,,,,,,,,,,
2020-05-07,,310,,,,,,,,,,,
2020-05-08,,283,,,,,,,,,,,
2020-05-12,,297,,,,,,,,,,,
2020-05-13,,217,,,,,,,,,,,
2020-05-14,,160,,,,,,,,,,,
2020-05-15,,166,,,,,,,,,,,
2020-05-18,,232,,,,,,,,,,,
2020-05-19,,268,,,,,,,,,,,
2020-05-20,,346,,,,,,,,,,,
2020-05-21,,211,,,,,,,,,,,
2020-05-22,,198,,,,,,,,,,,
2020-05-25,,223,,,,,,,,,,,
2020-05-26,,255,,,,,,,,,,,
2020-05-27,,159,,,,,,,,,,,
2020-05-28,,140,,,,,,,,,,,
2020-05-29,,167,,,,,,,,,,,
2020-06-01,,240,,,,,,,,,,,
2020-06-02,,265,,,,,,,,,,,
2020-06-03,,480,,,,,,,,,,,
2020-06-04,238.0,211,238.0,238.0,238.0,238.0,,2.0,1.0,41500.0,2.0,83000.0,4.0
2020-06-05,276.0,261,223.0,327.0,223.0,291.0,22.27,10.0,10.0,684750.0,33.0,1286500.0,62.0
2020-06-08,303.0,235,323.0,323.0,267.0,300.0,3.09,10.0,3.0,290500.0,14.0,1826000.0,88.0
2020-06-09,,242,,,,,,,,,,1826000.0,88.0
2020-06-10,186.0,141,190.0,230.0,122.0,167.0,,1.0,5.0,643250.0,31.0,1411000.0,68.0
2020-06-11,53.0,45,53.0,53.0,53.0,53.0,-68.26,2.0,1.0,41500.0,2.0,1328000.0,64.0
2020-06-15,,5,,,,,,,,,,1328000.0,64.0
2020-06-16,,6,,,,,,,,,,1328000.0,64.0
2020-06-17,,1,,,,,,,,,,,
2020-06-18,,1,,,,,,,,,,,
