date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-06-10,,5341,,,,,,,,,,,
2019-06-11,,5656,,,,,,,,,,,
2019-06-13,,5078,,,,,,,,,,,
2019-06-14,,5737,,,,,,,,,,,
2019-06-17,,5460,,,,,,,,,,,
2019-06-18,,5477,,,,,,,,,,,
2019-06-19,,5375,,,,,,,,,,,
2019-06-20,,5457,,,,,,,,,,,
2019-06-21,,5852,,,,,,,,,,,
2019-06-24,,5615,,,,,,,,,,,
2019-06-25,,6518,,,,,,,,,,,
2019-06-26,,6403,,,,,,,,,,,
2019-06-27,,6401,,,,,,,,,,,
2019-06-28,,6189,,,,,,,,,,,
2019-07-01,,5339,,,,,,,,,,,
2019-07-02,,4983,,,,,,,,,,,
2019-07-03,,4693,,,,,,,,,,,
2019-07-04,,4440,,,,,,,,,,,
2019-07-05,,4854,,,,,,,,,,,
2019-07-08,,4236,,,,,,,,,,,
2019-07-09,,4057,,,,,,,,,,,
2019-07-10,,3908,,,,,,,,,,,
2019-07-11,,4223,,,,,,,,,,,
2019-07-12,,4611,,,,,,,,,,,
2019-07-15,,4729,,,,,,,,,,,
2019-07-16,,5142,,,,,,,,,,,
2019-07-17,,5259,,,,,,,,,,,
2019-07-18,,5527,,,,,,,,,,,
2019-07-19,,5596,,,,,,,,,,,
2019-07-22,,5849,,,,,,,,,,,
2019-07-23,,5815,,,,,,,,,,,
2019-07-24,,6130,,,,,,,,,,,
2019-07-25,,5729,,,,,,,,,,,
2019-07-26,,4893,,,,,,,,,,,
2019-07-29,,4777,,,,,,,,,,,
2019-07-30,,4906,,,,,,,,,,,
2019-07-31,,4543,,,,,,,,,,,
2019-08-01,,4720,,,,,,,,,,,
2019-08-02,,5023,,,,,,,,,,,
2019-08-05,,5398,,,,,,,,,,,
2019-08-06,,5268,,,,,,,,,,,
2019-08-07,,4876,,,,,,,,,,,
2019-08-08,,4651,,,,,,,,,,,
2019-08-09,,4789,,,,,,,,,,,
2019-08-12,,4834,,,,,,,,,,,
2019-08-13,,4834,,,,,,,,,,,
2019-08-14,,5077,,,,,,,,,,,
2019-08-15,,5072,,,,,,,,,,,
2019-08-16,,5318,,,,,,,,,,,
2019-08-19,,5109,,,,,,,,,,,
2019-08-20,,4972,,,,,,,,,,,
2019-08-21,,4878,,,,,,,,,,,
2019-08-22,,4879,,,,,,,,,,,
2019-08-23,,5005,,,,,,,,,,,
2019-08-26,,5029,,,,,,,,,,,
2019-08-27,,5313,,,,,,,,,,,
2019-08-28,,5129,,,,,,,,,,,
2019-08-29,,4711,,,,,,,,,,,
2019-08-30,,4774,,,,,,,,,,,
2019-09-02,,4636,,,,,,,,,,,
2019-09-03,,4723,,,,,,,,,,,
2019-09-04,,4522,,,,,,,,,,,
2019-09-05,,4358,,,,,,,,,,,
2019-09-06,,4632,,,,,,,,,,,
2019-09-09,,4445,,,,,,,,,,,
2019-09-10,,4525,,,,,,,,,,,
2019-09-11,,4380,,,,,,,,,,,
2019-09-12,,4532,,,,,,,,,,,
2019-09-13,,4747,,,,,,,,,,,
2019-09-16,,4429,,,,,,,,,,,
2019-09-17,,4631,,,,,,,,,,,
2019-09-18,,4227,,,,,,,,,,,
2019-09-19,,4410,,,,,,,,,,,
2019-09-20,,4527,,,,,,,,,,,
2019-09-23,,4511,,,,,,,,,,,
2019-09-24,,4702,,,,,,,,,,,
2019-09-25,,4640,,,,,,,,,,,
2019-09-26,,4448,,,,,,,,,,,
2019-09-27,,4519,,,,,,,,,,,
2019-09-30,,5020,,,,,,,,,,,
2019-10-01,,4779,,,,,,,,,,,
2019-10-02,,5096,,,,,,,,,,,
2019-10-03,,5032,,,,,,,,,,,
2019-10-04,,5222,,,,,,,,,,,
2019-10-07,,4894,,,,,,,,,,,
2019-10-08,,5330,,,,,,,,,,,
2019-10-09,,5386,,,,,,,,,,,
2019-10-10,,5174,,,,,,,,,,,
2019-10-11,,4951,,,,,,,,,,,
2019-10-14,,5075,,,,,,,,,,,
2019-10-15,,5211,,,,,,,,,,,
2019-10-16,,5034,,,,,,,,,,,
2019-10-17,,5059,,,,,,,,,,,
2019-10-18,,5156,,,,,,,,,,,
2019-10-21,,5006,,,,,,,,,,,
2019-10-22,,4415,,,,,,,,,,,
2019-10-23,,4406,,,,,,,,,,,
2019-10-24,,3794,,,,,,,,,,,
2019-10-25,,3530,,,,,,,,,,,
2019-10-28,,3847,,,,,,,,,,,
2019-10-29,,3181,,,,,,,,,,,
2019-10-30,,2605,,,,,,,,,,,
2019-10-31,,2762,,,,,,,,,,,
2019-11-01,,2384,,,,,,,,,,,
2019-11-05,,2455,,,,,,,,,,,
2019-11-06,,2154,,,,,,,,,,,
2019-11-07,,1941,,,,,,,,,,,
2019-11-08,,2265,,,,,,,,,,,
2019-11-11,,2503,,,,,,,,,,,
2019-11-12,,2738,,,,,,,,,,,
2019-11-13,,3063,,,,,,,,,,,
2019-11-14,,3365,,,,,,,,,,,
2019-11-15,,3023,,,,,,,,,,,
2019-11-18,,3177,,,,,,,,,,,
2019-11-19,,3153,,,,,,,,,,,
2019-11-20,,3219,,,,,,,,,,,
2019-11-21,,2468,,,,,,,,,,,
2019-11-22,,3071,,,,,,,,,,,
2019-11-25,,2771,,,,,,,,,,,
2019-11-26,,2829,,,,,,,,,,,
2019-11-27,,2767,,,,,,,,,,,
2019-11-28,,2757,,,,,,,,,,,
2019-11-29,,2556,,,,,,,,,,,
2019-12-02,,2751,,,,,,,,,,,
2019-12-03,,3293,,,,,,,,,,,
2019-12-04,,3145,,,,,,,,,,,
2019-12-05,,3324,,,,,,,,,,,
2019-12-06,,3056,,,,,,,,,,,
2019-12-09,,3000,,,,,,,,,,,
2019-12-10,,3172,,,,,,,,,,,
2019-12-11,,3197,,,,,,,,,,,
2019-12-12,,2897,,,,,,,,,,,
2019-12-13,,3055,,,,,,,,,,,
2019-12-16,,2849,,,,,,,,,,,
2019-12-17,,2855,,,,,,,,,,,
2019-12-18,,2777,,,,,,,,,,,
2019-12-19,,2815,,,,,,,,,,,
2019-12-20,,2503,,,,,,,,,,,
2019-12-23,,2565,,,,,,,,,,,
2019-12-24,,2491,,,,,,,,,,,
2019-12-25,,2592,,,,,,,,,,,
2019-12-26,,2568,,,,,,,,,,,
2019-12-27,,2309,,,,,,,,,,,
2019-12-30,,2375,,,,,,,,,,,
2020-01-03,,2242,,,,,,,,,,,
2020-01-06,,2420,,,,,,,,,,,
2020-01-08,,2450,,,,,,,,,,,
2020-01-09,,2585,,,,,,,,,,,
2020-01-10,,2793,,,,,,,,,,,
2020-01-13,,2808,,,,,,,,,,,
2020-01-14,,2849,,,,,,,,,,,
2020-01-15,,2823,,,,,,,,,,,
2020-01-16,,2525,,,,,,,,,,,
2020-01-17,,2420,,,,,,,,,,,
2020-01-20,,2596,,,,,,,,,,,
2020-01-21,,2660,,,,,,,,,,,
2020-01-22,,3070,,,,,,,,,,,
2020-01-23,,3921,,,,,,,,,,,
2020-01-24,,4068,,,,,,,,,,,
2020-01-27,,4698,,,,,,,,,,,
2020-01-28,,4330,,,,,,,,,,,
2020-01-29,,4614,,,,,,,,,,,
2020-01-30,,4684,,,,,,,,,,,
2020-01-31,,5190,,,,,,,,,,,
2020-02-03,,5038,,,,,,,,,,,
2020-02-04,,4788,,,,,,,,,,,
2020-02-05,,4539,,,,,,,,,,,
2020-02-06,,4771,,,,,,,,,,,
2020-02-07,,5013,,,,,,,,,,,
2020-02-10,,5333,,,,,,,,,,,
2020-02-11,,4487,,,,,,,,,,,
2020-02-12,,4094,,,,,,,,,,,
2020-02-13,,4505,,,,,,,,,,,
2020-02-14,,4657,,,,,,,,,,,
2020-02-17,,4560,,,,,,,,,,,
2020-02-18,,4825,,,,,,,,,,,
2020-02-19,,4700,,,,,,,,,,,
2020-02-20,,4426,,,,,,,,,,,
2020-02-21,,4653,,,,,,,,,,,
2020-02-25,,5385,,,,,,,,,,,
2020-02-26,,5448,,,,,,,,,,,
2020-02-27,,6236,,,,,,,,,,,
2020-02-28,,7837,,,,,,,,,,,
2020-03-02,,7995,,,,,,,,,,,
2020-03-03,,7779,,,,,,,,,,,
2020-03-04,,7962,,,,,,,,,,,
2020-03-05,,8127,,,,,,,,,,,
2020-03-06,,9128,,,,,,,,,,,
2020-03-10,,10903,,,,,,,,,,,
2020-03-11,,10737,,,,,,,,,,,
2020-03-12,,11590,,,,,,,,,,,
2020-03-13,,11202,,,,,,,,,,,
2020-03-16,,11191,,,,,,,,,,,
2020-03-17,,11169,,,,,,,,,,,
2020-03-18,,11239,,,,,,,,,,,
