date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-06-13,,897,,,,,,,,,,,
2019-06-14,,915,,,,,,,,,,,
2019-06-17,,1059,,,,,,,,,,,
2019-06-18,,984,,,,,,,,,,,
2019-06-19,,835,,,,,,,,,,,
2019-06-20,,1113,,,,,,,,,,,
2019-06-21,,1152,,,,,,,,,,,
2019-06-24,,1212,,,,,,,,,,,
2019-06-25,,978,,,,,,,,,,,
2019-06-26,,961,,,,,,,,,,,
2019-06-27,,788,,,,,,,,,,,
2019-06-28,,1102,,,,,,,,,,,
2019-07-01,,757,,,,,,,,,,,
2019-07-02,,401,,,,,,,,,,,
2019-07-03,,339,,,,,,,,,,,
2019-07-04,,540,,,,,,,,,,,
2019-07-05,,753,,,,,,,,,,,
2019-07-08,,780,,,,,,,,,,,
2019-07-09,,953,,,,,,,,,,,
2019-07-10,,1012,,,,,,,,,,,
2019-07-11,,627,,,,,,,,,,,
2019-07-12,,723,,,,,,,,,,,
2019-07-15,,859,,,,,,,,,,,
2019-07-16,,861,,,,,,,,,,,
2019-07-17,,890,,,,,,,,,,,
2019-07-18,,941,,,,,,,,,,,
2019-07-19,,1045,,,,,,,,,,,
2019-07-22,,892,,,,,,,,,,,
2019-07-23,,890,,,,,,,,,,,
2019-07-24,,1177,,,,,,,,,,,
2019-07-25,,826,,,,,,,,,,,
2019-07-26,,440,,,,,,,,,,,
2019-07-29,,751,,,,,,,,,,,
2019-07-30,,724,,,,,,,,,,,
2019-07-31,,750,,,,,,,,,,,
2019-08-01,,740,,,,,,,,,,,
2019-08-02,,968,,,,,,,,,,,
2019-08-05,,1100,,,,,,,,,,,
2019-08-06,,1033,,,,,,,,,,,
2019-08-07,,1012,,,,,,,,,,,
2019-08-08,,878,,,,,,,,,,,
2019-08-09,,944,,,,,,,,,,,
2019-08-12,,955,,,,,,,,,,,
2019-08-13,,849,,,,,,,,,,,
2019-08-14,,981,,,,,,,,,,,
2019-08-15,,1008,,,,,,,,,,,
2019-08-16,,1067,,,,,,,,,,,
2019-08-19,,958,,,,,,,,,,,
2019-08-20,,822,,,,,,,,,,,
2019-08-21,,769,,,,,,,,,,,
2019-08-22,,723,,,,,,,,,,,
2019-08-23,,803,,,,,,,,,,,
2019-08-26,,873,,,,,,,,,,,
2019-08-27,,873,,,,,,,,,,,
2019-08-28,,745,,,,,,,,,,,
2019-08-29,,680,,,,,,,,,,,
2019-08-30,,720,,,,,,,,,,,
2019-09-02,,659,,,,,,,,,,,
2019-09-03,,717,,,,,,,,,,,
2019-09-04,,693,,,,,,,,,,,
2019-09-05,,635,,,,,,,,,,,
2019-09-06,,699,,,,,,,,,,,
2019-09-09,,652,,,,,,,,,,,
2019-09-10,,549,,,,,,,,,,,
2019-09-11,,541,,,,,,,,,,,
2019-09-12,,564,,,,,,,,,,,
2019-09-13,,604,,,,,,,,,,,
2019-09-16,,520,,,,,,,,,,,
2019-09-17,,528,,,,,,,,,,,
2019-09-18,,445,,,,,,,,,,,
2019-09-19,,505,,,,,,,,,,,
2019-09-20,,482,,,,,,,,,,,
2019-09-23,,480,,,,,,,,,,,
2019-09-24,,513,,,,,,,,,,,
2019-09-25,,503,,,,,,,,,,,
2019-09-26,,445,,,,,,,,,,,
2019-09-27,,488,,,,,,,,,,,
2019-09-30,,609,,,,,,,,,,,
2019-10-01,,558,,,,,,,,,,,
2019-10-02,,614,,,,,,,,,,,
2019-10-03,,657,,,,,,,,,,,
2019-10-04,,641,,,,,,,,,,,
2019-10-07,,544,,,,,,,,,,,
2019-10-08,,613,,,,,,,,,,,
2019-10-09,,601,,,,,,,,,,,
2019-10-10,,560,,,,,,,,,,,
2019-10-11,,504,,,,,,,,,,,
2019-10-14,,538,,,,,,,,,,,
2019-10-15,,497,,,,,,,,,,,
2019-10-16,,443,,,,,,,,,,,
2019-10-17,,444,,,,,,,,,,,
2019-10-18,,381,,,,,,,,,,,
2019-10-21,,353,,,,,,,,,,,
2019-10-22,,273,,,,,,,,,,,
2019-10-23,,238,,,,,,,,,,,
2019-10-24,,154,,,,,,,,,,,
2019-10-25,,129,,,,,,,,,,,
2019-10-28,,118,,,,,,,,,,,
2019-10-29,,93,,,,,,,,,,,
2019-10-30,,80,,,,,,,,,,,
2019-10-31,,65,,,,,,,,,,,
2019-11-01,76.0,53,76.0,76.0,76.0,76.0,,1.0,1.0,21750.0,1.0,43500.0,2.0
2019-11-05,,51,,,,,,,,,,43500.0,2.0
2019-11-06,,47,,,,,,,,,,43500.0,2.0
2019-11-07,,57,,,,,,,,,,43500.0,2.0
2019-11-08,,52,,,,,,,,,,43500.0,2.0
2019-11-11,,54,,,,,,,,,,43500.0,2.0
2019-11-12,38.0,45,38.0,38.0,38.0,38.0,,1.0,1.0,21750.0,1.0,43500.0,2.0
2019-11-13,,44,,,,,,,,,,43500.0,2.0
2019-11-14,,75,,,,,,,,,,43500.0,2.0
2019-11-15,,64,,,,,,,,,,43500.0,2.0
2019-11-18,,67,,,,,,,,,,43500.0,2.0
2019-11-19,,63,,,,,,,,,,43500.0,2.0
2019-11-20,,67,,,,,,,,,,43500.0,2.0
2019-11-21,,51,,,,,,,,,,43500.0,2.0
2019-11-22,40.0,34,40.0,40.0,40.0,40.0,,17.0,1.0,369750.0,17.0,783000.0,36.0
2019-11-25,,18,,,,,,,,,,783000.0,36.0
2019-11-26,,25,,,,,,,,,,783000.0,36.0
2019-11-27,25.0,27,25.0,25.0,25.0,25.0,,17.0,1.0,369750.0,17.0,783000.0,36.0
2019-11-28,,26,,,,,,,,,,783000.0,36.0
2019-11-29,,17,,,,,,,,,,783000.0,36.0
2019-12-02,,20,,,,,,,,,,783000.0,36.0
2019-12-03,,27,,,,,,,,,,783000.0,36.0
2019-12-04,,25,,,,,,,,,,783000.0,36.0
2019-12-05,28.0,27,28.0,28.0,28.0,28.0,,5.0,1.0,108750.0,5.0,1000500.0,46.0
2019-12-06,,14,,,,,,,,,,1000500.0,46.0
2019-12-09,,13,,,,,,,,,,1000500.0,46.0
2019-12-10,,12,,,,,,,,,,1000500.0,46.0
2019-12-11,,13,,,,,,,,,,1000500.0,46.0
2019-12-12,,6,,,,,,,,,,1000500.0,46.0
2019-12-13,,7,,,,,,,,,,1000500.0,46.0
2019-12-16,,1,,,,,,,,,,1000500.0,46.0
2019-12-17,,1,,,,,,,,,,1000500.0,46.0
2019-12-18,,1,,,,,,,,,,,
2019-12-19,,1,,,,,,,,,,,
