date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2017-09-14,,2186,,,,,,,,,,,
2017-09-15,,2360,,,,,,,,,,,
2017-09-18,,2267,,,,,,,,,,,
2017-09-19,,2348,,,,,,,,,,,
2017-09-20,,2285,,,,,,,,,,,
2017-09-21,,2305,,,,,,,,,,,
2017-09-22,,2385,,,,,,,,,,,
2017-09-25,,2265,,,,,,,,,,,
2017-09-26,,2286,,,,,,,,,,,
2017-09-27,,2260,,,,,,,,,,,
2017-09-28,,2341,,,,,,,,,,,
2017-09-29,,2371,,,,,,,,,,,
2017-10-02,,2421,,,,,,,,,,,
2017-10-03,,2504,,,,,,,,,,,
2017-10-04,,2390,,,,,,,,,,,
2017-10-05,,2252,,,,,,,,,,,
2017-10-06,,2259,,,,,,,,,,,
2017-10-09,,2150,,,,,,,,,,,
2017-10-10,,2183,,,,,,,,,,,
2017-10-11,,2075,,,,,,,,,,,
2017-10-12,,2069,,,,,,,,,,,
2017-10-13,,2022,,,,,,,,,,,
2017-10-16,,2022,,,,,,,,,,,
2017-10-17,,2224,,,,,,,,,,,
2017-10-18,,2075,,,,,,,,,,,
2017-10-19,,2227,,,,,,,,,,,
2017-10-20,,2086,,,,,,,,,,,
2017-10-23,,2110,,,,,,,,,,,
2017-10-24,,2143,,,,,,,,,,,
2017-10-25,,2263,,,,,,,,,,,
2017-10-26,,2310,,,,,,,,,,,
2017-10-27,,2163,,,,,,,,,,,
2017-10-30,,2151,,,,,,,,,,,
2017-10-31,,2130,,,,,,,,,,,
2017-11-01,,2157,,,,,,,,,,,
2017-11-02,,2244,,,,,,,,,,,
2017-11-03,,2146,,,,,,,,,,,
2017-11-07,,1638,,,,,,,,,,,
2017-11-08,,1547,,,,,,,,,,,
2017-11-09,,1672,,,,,,,,,,,
2017-11-10,,1539,,,,,,,,,,,
2017-11-13,,1518,,,,,,,,,,,
2017-11-14,,1585,,,,,,,,,,,
2017-11-15,,1723,,,,,,,,,,,
2017-11-16,,1795,,,,,,,,,,,
2017-11-17,,1795,,,,,,,,,,,
2017-11-20,,1825,,,,,,,,,,,
2017-11-21,,1626,,,,,,,,,,,
2017-11-22,,1582,,,,,,,,,,,
2017-11-23,,1637,,,,,,,,,,,
2017-11-24,,1498,,,,,,,,,,,
2017-11-27,,1525,,,,,,,,,,,
2017-11-28,,1394,,,,,,,,,,,
2017-11-29,,1557,,,,,,,,,,,
2017-11-30,,1614,,,,,,,,,,,
2017-12-01,,1551,,,,,,,,,,,
2017-12-04,,1474,,,,,,,,,,,
2017-12-05,,1527,,,,,,,,,,,
2017-12-06,,1501,,,,,,,,,,,
2017-12-07,,1525,,,,,,,,,,,
2017-12-08,,1632,,,,,,,,,,,
2017-12-11,,1488,,,,,,,,,,,
2017-12-12,,1363,,,,,,,,,,,
2017-12-13,,1313,,,,,,,,,,,
2017-12-14,,1308,,,,,,,,,,,
2017-12-15,,1376,,,,,,,,,,,
2017-12-18,,1459,,,,,,,,,,,
2017-12-19,,1454,,,,,,,,,,,
2017-12-20,,1481,,,,,,,,,,,
2017-12-21,,1661,,,,,,,,,,,
2017-12-22,,1608,,,,,,,,,,,
2017-12-25,,1664,,,,,,,,,,,
2017-12-26,,1651,,,,,,,,,,,
2017-12-27,,1756,,,,,,,,,,,
2017-12-28,,1821,,,,,,,,,,,
2017-12-29,,1836,,,,,,,,,,,
2018-01-03,,1712,,,,,,,,,,,
2018-01-04,,1303,,,,,,,,,,,
2018-01-05,,1175,,,,,,,,,,,
