date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2018-12-14,,1630,,,,,,,,,,,
2018-12-17,,2276,,,,,,,,,,,
2018-12-18,,2044,,,,,,,,,,,
2018-12-19,,1442,,,,,,,,,,,
2018-12-20,,1789,,,,,,,,,,,
2018-12-21,,1226,,,,,,,,,,,
2018-12-24,,1187,,,,,,,,,,,
2018-12-25,,1158,,,,,,,,,,,
2018-12-26,,1166,,,,,,,,,,,
2018-12-27,,1255,,,,,,,,,,,
2018-12-28,,989,,,,,,,,,,,
2018-12-29,,1030,,,,,,,,,,,
2019-01-03,,1226,,,,,,,,,,,
2019-01-04,,1329,,,,,,,,,,,
2019-01-08,,1308,,,,,,,,,,,
2019-01-09,,1520,,,,,,,,,,,
2019-01-10,,1894,,,,,,,,,,,
2019-01-11,,1399,,,,,,,,,,,
2019-01-14,,1629,,,,,,,,,,,
2019-01-15,,1592,,,,,,,,,,,
2019-01-16,,1669,,,,,,,,,,,
2019-01-17,,1547,,,,,,,,,,,
2019-01-18,,2052,,,,,,,,,,,
2019-01-21,,1854,,,,,,,,,,,
2019-01-22,,1478,,,,,,,,,,,
2019-01-23,,1723,,,,,,,,,,,
2019-01-24,,1672,,,,,,,,,,,
2019-01-25,,1413,,,,,,,,,,,
2019-01-28,,1275,,,,,,,,,,,
2019-01-29,,1344,,,,,,,,,,,
2019-01-30,,1560,,,,,,,,,,,
2019-01-31,,1851,,,,,,,,,,,
2019-02-01,,1938,,,,,,,,,,,
2019-02-04,,1523,,,,,,,,,,,
2019-02-05,,1637,,,,,,,,,,,
2019-02-06,,1690,,,,,,,,,,,
2019-02-07,,1190,,,,,,,,,,,
2019-02-08,,1143,,,,,,,,,,,
2019-02-11,,1608,,,,,,,,,,,
2019-02-12,,1526,,,,,,,,,,,
2019-02-13,,1224,,,,,,,,,,,
2019-02-14,,1387,,,,,,,,,,,
2019-02-15,,1834,,,,,,,,,,,
2019-02-18,,1961,,,,,,,,,,,
2019-02-19,,1528,,,,,,,,,,,
2019-02-20,,1596,,,,,,,,,,,
2019-02-21,,1627,,,,,,,,,,,
2019-02-22,,1690,,,,,,,,,,,
2019-02-25,,1435,,,,,,,,,,,
2019-02-26,,1255,,,,,,,,,,,
2019-02-27,,1356,,,,,,,,,,,
2019-02-28,,1361,,,,,,,,,,,
2019-03-01,,1319,,,,,,,,,,,
2019-03-04,,1490,,,,,,,,,,,
2019-03-05,,1468,,,,,,,,,,,
2019-03-06,,1393,,,,,,,,,,,
2019-03-07,,1379,,,,,,,,,,,
2019-03-11,,1291,,,,,,,,,,,
2019-03-12,,1357,,,,,,,,,,,
2019-03-13,,1513,,,,,,,,,,,
2019-03-14,,1491,,,,,,,,,,,
2019-03-15,,1584,,,,,,,,,,,
2019-03-18,,1862,,,,,,,,,,,
2019-03-19,,1847,,,,,,,,,,,
2019-03-20,,1901,,,,,,,,,,,
2019-03-21,,2210,,,,,,,,,,,
2019-03-22,,1644,,,,,,,,,,,
2019-03-25,,2009,,,,,,,,,,,
2019-03-26,,2041,,,,,,,,,,,
2019-03-27,,1668,,,,,,,,,,,
2019-03-28,,1728,,,,,,,,,,,
2019-03-29,,1499,,,,,,,,,,,
2019-04-01,,1567,,,,,,,,,,,
2019-04-02,,1464,,,,,,,,,,,
2019-04-03,,1610,,,,,,,,,,,
2019-04-04,,1484,,,,,,,,,,,
2019-04-05,,1618,,,,,,,,,,,
2019-04-08,,1737,,,,,,,,,,,
2019-04-09,,1652,,,,,,,,,,,
2019-04-10,,1752,,,,,,,,,,,
2019-04-11,,1887,,,,,,,,,,,
2019-04-12,,2171,,,,,,,,,,,
2019-04-15,,2088,,,,,,,,,,,
2019-04-16,,1895,,,,,,,,,,,
2019-04-17,,2206,,,,,,,,,,,
2019-04-18,,2133,,,,,,,,,,,
2019-04-19,,2114,,,,,,,,,,,
2019-04-22,,2108,,,,,,,,,,,
2019-04-23,,2165,,,,,,,,,,,
2019-04-24,,1936,,,,,,,,,,,
2019-04-25,,1650,,,,,,,,,,,
2019-04-26,,1670,,,,,,,,,,,
2019-04-29,,1978,,,,,,,,,,,
2019-04-30,,1735,,,,,,,,,,,
2019-05-02,,1425,,,,,,,,,,,
2019-05-03,,1407,,,,,,,,,,,
2019-05-06,,1427,,,,,,,,,,,
2019-05-07,,1453,,,,,,,,,,,
2019-05-08,,1418,,,,,,,,,,,
2019-05-10,,1343,,,,,,,,,,,
