date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2020-03-13,,11716,,,,,,,,,,,
2020-03-16,,11523,,,,,,,,,,,
2020-03-17,,11055,,,,,,,,,,,
2020-03-18,,8184,,,,,,,,,,,
2020-03-19,,9558,,,,,,,,,,,
2020-03-20,,8990,,,,,,,,,,,
2020-03-23,,8777,,,,,,,,,,,
2020-03-24,,8723,,,,,,,,,,,
2020-03-25,,9017,,,,,,,,,,,
2020-03-26,,10295,,,,,,,,,,,
2020-03-27,,8579,,,,,,,,,,,
2020-03-30,,8402,,,,,,,,,,,
2020-03-31,,9765,,,,,,,,,,,
2020-04-01,,8582,,,,,,,,,,,
2020-04-02,,9710,,,,,,,,,,,
2020-04-03,,10293,,,,,,,,,,,
2020-04-06,,10870,,,,,,,,,,,
2020-04-07,,11475,,,,,,,,,,,
2020-04-08,,11401,,,,,,,,,,,
2020-04-09,,12485,,,,,,,,,,,
2020-04-10,,12330,,,,,,,,,,,
2020-04-13,,12586,,,,,,,,,,,
2020-04-14,,12487,,,,,,,,,,,
2020-04-15,,11443,,,,,,,,,,,
2020-04-16,,11603,,,,,,,,,,,
2020-04-17,,11752,,,,,,,,,,,
2020-04-20,,11911,,,,,,,,,,,
2020-04-21,,10054,,,,,,,,,,,
2020-04-22,,10765,,,,,,,,,,,
2020-04-23,,11198,,,,,,,,,,,
2020-04-24,,11933,,,,,,,,,,,
2020-04-27,,11840,,,,,,,,,,,
2020-04-28,,11660,,,,,,,,,,,
2020-04-29,,12450,,,,,,,,,,,
2020-04-30,,12733,,,,,,,,,,,
2020-05-04,,11312,,,,,,,,,,,
2020-05-05,,12123,,,,,,,,,,,
2020-05-06,,11727,,,,,,,,,,,
2020-05-07,,11559,,,,,,,,,,,
2020-05-08,,11690,,,,,,,,,,,
2020-05-12,,12090,,,,,,,,,,,
2020-05-13,,11893,,,,,,,,,,,
2020-05-14,,11801,,,,,,,,,,,
2020-05-15,,12360,,,,,,,,,,,
2020-05-18,,12682,,,,,,,,,,,
2020-05-19,,12988,,,,,,,,,,,
2020-05-20,,14243,,,,,,,,,,,
2020-05-21,,14238,,,,,,,,,,,
2020-05-22,,13792,,,,,,,,,,,
2020-05-25,,14034,,,,,,,,,,,
2020-05-26,,14678,,,,,,,,,,,
2020-05-27,,14281,,,,,,,,,,,
2020-05-28,,14582,,,,,,,,,,,
2020-05-29,,14529,,,,,,,,,,,
2020-06-01,,15601,,,,,,,,,,,
2020-06-02,,16321,,,,,,,,,,,
2020-06-03,,16763,,,,,,,,,,,
2020-06-04,,16084,,,,,,,,,,,
2020-06-05,,16636,,,,,,,,,,,
2020-06-08,,17192,,,,,,,,,,,
2020-06-09,,16977,,,,,,,,,,,
2020-06-10,,17181,,,,,,,,,,,
2020-06-11,,15857,,,,,,,,,,,
