date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-02-27,,1462,,,,,,,,,,,
2019-02-28,,1359,,,,,,,,,,,
2019-03-01,,1357,,,,,,,,,,,
2019-03-04,,1502,,,,,,,,,,,
2019-03-05,,1453,,,,,,,,,,,
2019-03-06,,1390,,,,,,,,,,,
2019-03-07,,1424,,,,,,,,,,,
2019-03-11,,1155,,,,,,,,,,,
2019-03-12,,1165,,,,,,,,,,,
2019-03-13,,1103,,,,,,,,,,,
2019-03-14,,1212,,,,,,,,,,,
2019-03-15,,1198,,,,,,,,,,,
2019-03-18,,1148,,,,,,,,,,,
2019-03-19,,1092,,,,,,,,,,,
2019-03-20,,1057,,,,,,,,,,,
2019-03-21,,1356,,,,,,,,,,,
2019-03-22,,872,,,,,,,,,,,
2019-03-25,,714,,,,,,,,,,,
2019-03-26,,644,,,,,,,,,,,
2019-03-27,,623,,,,,,,,,,,
2019-03-28,,649,,,,,,,,,,,
2019-03-29,,691,,,,,,,,,,,
2019-04-01,,554,,,,,,,,,,,
2019-04-02,,643,,,,,,,,,,,
2019-04-03,,639,,,,,,,,,,,
2019-04-04,,775,,,,,,,,,,,
2019-04-05,,752,,,,,,,,,,,
2019-04-08,,693,,,,,,,,,,,
2019-04-09,,521,,,,,,,,,,,
2019-04-10,,274,,,,,,,,,,,
2019-04-11,,394,,,,,,,,,,,
2019-04-12,,556,,,,,,,,,,,
2019-04-15,,559,,,,,,,,,,,
2019-04-16,,564,,,,,,,,,,,
2019-04-17,,616,,,,,,,,,,,
2019-04-18,,591,,,,,,,,,,,
2019-04-19,,621,,,,,,,,,,,
2019-04-22,,589,,,,,,,,,,,
2019-04-23,,611,,,,,,,,,,,
2019-04-24,,469,,,,,,,,,,,
2019-04-25,,565,,,,,,,,,,,
2019-04-26,,714,,,,,,,,,,,
2019-04-29,,744,,,,,,,,,,,
2019-04-30,,795,,,,,,,,,,,
2019-05-02,,779,,,,,,,,,,,
2019-05-03,,715,,,,,,,,,,,
2019-05-06,,710,,,,,,,,,,,
2019-05-07,,667,,,,,,,,,,,
2019-05-08,,724,,,,,,,,,,,
2019-05-10,,873,,,,,,,,,,,
2019-05-13,,916,,,,,,,,,,,
2019-05-14,,863,,,,,,,,,,,
2019-05-15,,836,,,,,,,,,,,
2019-05-16,,769,,,,,,,,,,,
2019-05-17,,842,,,,,,,,,,,
2019-05-20,,851,,,,,,,,,,,
2019-05-21,,628,,,,,,,,,,,
2019-05-22,,567,,,,,,,,,,,
2019-05-23,,495,,,,,,,,,,,
2019-05-24,,421,,,,,,,,,,,
2019-05-27,,403,,,,,,,,,,,
2019-05-28,,489,,,,,,,,,,,
2019-05-29,,449,,,,,,,,,,,
2019-05-30,,427,,,,,,,,,,,
2019-05-31,,632,,,,,,,,,,,
2019-06-03,,491,,,,,,,,,,,
2019-06-04,,459,,,,,,,,,,,
2019-06-05,,489,,,,,,,,,,,
2019-06-06,,395,,,,,,,,,,,
2019-06-07,,400,,,,,,,,,,,
2019-06-10,,405,,,,,,,,,,,
2019-06-11,,290,,,,,,,,,,,
2019-06-17,,324,,,,,,,,,,,
2019-06-19,,316,,,,,,,,,,,
2019-06-20,,326,,,,,,,,,,,
2019-06-21,,396,,,,,,,,,,,
2019-06-24,,397,,,,,,,,,,,
2019-06-25,,332,,,,,,,,,,,
2019-06-26,,271,,,,,,,,,,,
2019-06-27,,396,,,,,,,,,,,
2019-06-28,,392,,,,,,,,,,,
2019-07-01,,254,,,,,,,,,,,
2019-07-02,,137,,,,,,,,,,,
2019-07-03,,377,,,,,,,,,,,
2019-07-04,,435,,,,,,,,,,,
2019-07-05,,513,,,,,,,,,,,
2019-07-08,,621,,,,,,,,,,,
2019-07-09,,558,,,,,,,,,,,
2019-07-10,,344,,,,,,,,,,,
2019-07-11,,459,,,,,,,,,,,
2019-07-12,,283,,,,,,,,,,,
2019-07-15,,500,,,,,,,,,,,
2019-07-16,,444,,,,,,,,,,,
2019-07-17,,326,,,,,,,,,,,
2019-07-18,,390,,,,,,,,,,,
2019-07-19,,540,,,,,,,,,,,
2019-07-22,,560,,,,,,,,,,,
2019-07-23,,630,,,,,,,,,,,
2019-07-24,,541,,,,,,,,,,,
2019-07-25,,483,,,,,,,,,,,
2019-07-26,,465,,,,,,,,,,,
2019-07-29,,460,,,,,,,,,,,
2019-07-30,,464,,,,,,,,,,,
2019-07-31,,492,,,,,,,,,,,
2019-08-01,,580,,,,,,,,,,,
2019-08-02,,547,,,,,,,,,,,
2019-08-05,,652,,,,,,,,,,,
2019-08-06,,609,,,,,,,,,,,
2019-08-07,,644,,,,,,,,,,,
2019-08-08,,567,,,,,,,,,,,
2019-08-09,,626,,,,,,,,,,,
2019-08-12,,598,,,,,,,,,,,
2019-08-13,,505,,,,,,,,,,,
2019-08-14,,597,,,,,,,,,,,
2019-08-15,,760,,,,,,,,,,,
2019-08-16,,735,,,,,,,,,,,
2019-08-19,,676,,,,,,,,,,,
2019-08-20,,708,,,,,,,,,,,
2019-08-21,,677,,,,,,,,,,,
2019-08-22,,651,,,,,,,,,,,
2019-08-23,,608,,,,,,,,,,,
2019-08-26,,641,,,,,,,,,,,
2019-08-27,,737,,,,,,,,,,,
2019-08-28,,700,,,,,,,,,,,
2019-08-29,,706,,,,,,,,,,,
2019-08-30,,631,,,,,,,,,,,
2019-09-02,,619,,,,,,,,,,,
2019-09-03,,569,,,,,,,,,,,
2019-09-04,,449,,,,,,,,,,,
2019-09-05,,519,,,,,,,,,,,
2019-09-06,,512,,,,,,,,,,,
2019-09-09,,469,,,,,,,,,,,
2019-09-10,,558,,,,,,,,,,,
2019-09-11,,473,,,,,,,,,,,
2019-09-12,,489,,,,,,,,,,,
2019-09-13,,511,,,,,,,,,,,
2019-09-16,,547,,,,,,,,,,,
2019-09-17,,496,,,,,,,,,,,
2019-09-18,,420,,,,,,,,,,,
2019-09-19,,436,,,,,,,,,,,
2019-09-20,,410,,,,,,,,,,,
2019-09-23,,438,,,,,,,,,,,
2019-09-24,,443,,,,,,,,,,,
2019-09-25,,421,,,,,,,,,,,
2019-09-26,,337,,,,,,,,,,,
2019-09-27,,327,,,,,,,,,,,
