date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2019-03-14,,3587,,,,,,,,,,,
2019-03-15,,3563,,,,,,,,,,,
2019-03-18,,3576,,,,,,,,,,,
2019-03-19,,3578,,,,,,,,,,,
2019-03-20,,3757,,,,,,,,,,,
2019-03-21,,3773,,,,,,,,,,,
2019-03-22,,3433,,,,,,,,,,,
2019-03-25,,4194,,,,,,,,,,,
2019-03-26,,4548,,,,,,,,,,,
2019-03-27,,4154,,,,,,,,,,,
2019-03-28,,4271,,,,,,,,,,,
2019-03-29,,4201,,,,,,,,,,,
2019-04-01,,4508,,,,,,,,,,,
2019-04-02,,4614,,,,,,,,,,,
2019-04-03,,4678,,,,,,,,,,,
2019-04-04,,4958,,,,,,,,,,,
2019-04-05,,5485,,,,,,,,,,,
2019-04-08,,5843,,,,,,,,,,,
2019-04-26,,5099,,,,,,,,,,,
2019-04-29,,5640,,,,,,,,,,,
2019-04-30,,5314,,,,,,,,,,,
2019-05-02,,5699,,,,,,,,,,,
2019-05-03,,6050,,,,,,,,,,,
2019-05-10,,5354,,,,,,,,,,,
2019-05-13,,5148,,,,,,,,,,,
2019-05-14,,5446,,,,,,,,,,,
2019-05-15,,5461,,,,,,,,,,,
2019-05-16,,5473,,,,,,,,,,,
2019-05-17,,5374,,,,,,,,,,,
2019-05-20,,5260,,,,,,,,,,,
2019-05-21,,5725,,,,,,,,,,,
2019-05-22,,6152,,,,,,,,,,,
2019-05-24,,5811,,,,,,,,,,,
2019-05-29,,5705,,,,,,,,,,,
2019-08-05,,5806,,,,,,,,,,,
2019-08-12,,5677,,,,,,,,,,,
2019-08-15,,4914,,,,,,,,,,,
2019-08-16,,4976,,,,,,,,,,,
2019-08-19,,5167,,,,,,,,,,,
2019-08-20,,5023,,,,,,,,,,,
2019-08-21,,5275,,,,,,,,,,,
2019-08-22,,5377,,,,,,,,,,,
2019-08-23,,5386,,,,,,,,,,,
2019-08-26,,5249,,,,,,,,,,,
2019-08-27,,5093,,,,,,,,,,,
2019-08-28,,5222,,,,,,,,,,,
2019-08-29,,5457,,,,,,,,,,,
2019-08-30,,5763,,,,,,,,,,,
