date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2021-04-20,,8879,,,,,,,,,,,
2021-04-21,,8609,,,,,,,,,,,
2021-04-22,,8160,,,,,,,,,,,
2021-04-23,,8231,,,,,,,,,,,
2021-04-26,,8087,,,,,,,,,,,
2021-04-27,,7822,,,,,,,,,,,
2021-04-28,,7523,,,,,,,,,,,
2021-04-29,,7726,,,,,,,,,,,
2021-04-30,,7686,,,,,,,,,,,
2021-05-04,,7403,,,,,,,,,,,
2021-05-05,,7047,,,,,,,,,,,
2021-05-06,,6536,,,,,,,,,,,
2021-05-07,,6376,,,,,,,,,,,
2021-05-10,,6494,,,,,,,,,,,
2021-05-11,,5869,,,,,,,,,,,
2021-05-12,,6093,,,,,,,,,,,
2021-05-13,,5654,,,,,,,,,,,
2021-05-14,,5786,,,,,,,,,,,
2021-05-17,,5813,,,,,,,,,,,
2021-05-18,,5614,,,,,,,,,,,
2021-05-19,,6260,,,,,,,,,,,
2021-05-20,,6400,,,,,,,,,,,
2021-05-21,,5789,,,,,,,,,,,
2021-05-24,,5853,,,,,,,,,,,
2021-05-25,,5447,,,,,,,,,,,
2021-05-26,,5326,,,,,,,,,,,
2021-05-27,,4958,,,,,,,,,,,
2021-05-28,,5090,,,,,,,,,,,
2021-05-31,,5035,,,,,,,,,,,
2021-06-01,,4802,,,,,,,,,,,
2021-06-02,,4668,,,,,,,,,,,
2021-06-03,,4716,,,,,,,,,,,
2021-06-04,,5108,,,,,,,,,,,
2021-06-07,,4637,,,,,,,,,,,
2021-06-08,,4550,,,,,,,,,,,
2021-06-09,,4515,,,,,,,,,,,
2021-06-10,,4638,,,,,,,,,,,
2021-06-11,,4736,,,,,,,,,,,
2021-06-14,,4565,,,,,,,,,,,
2021-06-15,,4788,,,,,,,,,,,
2021-06-16,,4723,,,,,,,,,,,
2021-06-17,,4589,,,,,,,,,,,
2021-06-18,,4993,,,,,,,,,,,
2021-06-21,,4863,,,,,,,,,,,
2021-06-22,,5091,,,,,,,,,,,
2021-06-23,,5083,,,,,,,,,,,
2021-06-24,,5169,,,,,,,,,,,
2021-06-25,,5032,,,,,,,,,,,
2021-06-28,,5157,,,,,,,,,,,
2021-06-29,,5407,,,,,,,,,,,
2021-06-30,,5338,,,,,,,,,,,
2021-07-01,,5315,,,,,,,,,,,
2021-07-02,,5163,,,,,,,,,,,
2021-07-05,,5218,,,,,,,,,,,
2021-07-06,,5657,,,,,,,,,,,
2021-07-07,,5552,,,,,,,,,,,
2021-07-08,,5599,,,,,,,,,,,
2021-07-09,,5493,,,,,,,,,,,
2021-07-12,,5319,,,,,,,,,,,
2021-07-13,,5421,,,,,,,,,,,
2021-07-14,,5535,,,,,,,,,,,
2021-07-15,,5580,,,,,,,,,,,
2021-07-16,,5739,,,,,,,,,,,
2021-07-19,,6504,,,,,,,,,,,
2021-07-20,,6012,,,,,,,,,,,
2021-07-21,,6173,,,,,,,,,,,
2021-07-22,,5970,,,,,,,,,,,
2021-07-23,,6021,,,,,,,,,,,
2021-07-26,,5486,,,,,,,,,,,
2021-07-27,,5693,,,,,,,,,,,
2021-07-28,,5524,,,,,,,,,,,
2021-07-29,,5369,,,,,,,,,,,
2021-07-30,,5114,,,,,,,,,,,
2021-08-02,,4985,,,,,,,,,,,
2021-08-03,,4775,,,,,,,,,,,
2021-08-04,,4614,,,,,,,,,,,
2021-08-05,,4178,,,,,,,,,,,
2021-08-06,,4010,,,,,,,,,,,
2021-08-09,,3706,,,,,,,,,,,
2021-08-10,,3356,,,,,,,,,,,
2021-08-11,,3329,,,,,,,,,,,
2021-08-12,,3459,,,,,,,,,,,
2021-08-13,,3458,,,,,,,,,,,
2021-08-16,,3328,,,,,,,,,,,
2021-08-17,,2950,,,,,,,,,,,
2021-08-18,,3065,,,,,,,,,,,
2021-08-19,,3419,,,,,,,,,,,
2021-08-20,,3787,,,,,,,,,,,
2021-08-23,,3647,,,,,,,,,,,
2021-08-24,,4034,,,,,,,,,,,
