date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2020-06-26,,2664,,,,,,,,,,,
2020-06-29,,2494,,,,,,,,,,,
2020-06-30,,2197,,,,,,,,,,,
2020-07-02,,2281,,,,,,,,,,,
2020-07-03,,2029,,,,,,,,,,,
2020-07-06,,2294,,,,,,,,,,,
2020-07-07,,2235,,,,,,,,,,,
2020-07-08,,2255,,,,,,,,,,,
2020-07-09,,2288,,,,,,,,,,,
2020-07-10,,2307,,,,,,,,,,,
2020-07-13,,2157,,,,,,,,,,,
2020-07-14,,2434,,,,,,,,,,,
2020-07-15,,2576,,,,,,,,,,,
2020-07-16,,2471,,,,,,,,,,,
2020-07-17,,2272,,,,,,,,,,,
2020-07-20,,2307,,,,,,,,,,,
2020-07-21,,2446,,,,,,,,,,,
2020-07-22,,2913,,,,,,,,,,,
2020-07-23,,2681,,,,,,,,,,,
2020-07-24,,2692,,,,,,,,,,,
2020-07-27,,2697,,,,,,,,,,,
2020-07-28,,2681,,,,,,,,,,,
2020-07-29,,2773,,,,,,,,,,,
2020-07-30,,2709,,,,,,,,,,,
2020-07-31,,2779,,,,,,,,,,,
2020-08-03,,2929,,,,,,,,,,,
2020-08-04,,3589,,,,,,,,,,,
2020-08-05,,3615,,,,,,,,,,,
2020-08-06,,3387,,,,,,,,,,,
2020-08-07,,3812,,,,,,,,,,,
2020-08-10,,3556,,,,,,,,,,,
2020-08-11,,3916,,,,,,,,,,,
2020-08-12,,4503,,,,,,,,,,,
2020-08-13,,4472,,,,,,,,,,,
2020-08-14,,4311,,,,,,,,,,,
2020-08-17,,4259,,,,,,,,,,,
2020-08-18,,4466,,,,,,,,,,,
2020-08-19,,4785,,,,,,,,,,,
2020-08-20,,4055,,,,,,,,,,,
2020-08-21,,3660,,,,,,,,,,,
2020-08-24,,3486,,,,,,,,,,,
2020-08-25,,3256,,,,,,,,,,,
2020-08-26,,3148,,,,,,,,,,,
2020-08-27,,2886,,,,,,,,,,,
2020-08-28,,3100,,,,,,,,,,,
2020-08-31,,2975,,,,,,,,,,,
2020-09-01,,3006,,,,,,,,,,,
2020-09-02,,2726,,,,,,,,,,,
2020-09-03,,2535,,,,,,,,,,,
2020-09-04,,2456,,,,,,,,,,,
2020-09-07,,2506,,,,,,,,,,,
2020-09-08,,2171,,,,,,,,,,,
2020-09-09,,2131,,,,,,,,,,,
2020-09-10,,2272,,,,,,,,,,,
2020-09-11,,2432,,,,,,,,,,,
2020-09-14,,2828,,,,,,,,,,,
2020-09-15,,3060,,,,,,,,,,,
2020-09-16,,3110,,,,,,,,,,,
2020-09-17,,3130,,,,,,,,,,,
2020-09-18,,2984,,,,,,,,,,,
2020-09-21,,2709,,,,,,,,,,,
2020-09-22,,2840,,,,,,,,,,,
2020-09-23,,2863,,,,,,,,,,,
2020-09-24,,2885,,,,,,,,,,,
2020-09-25,,2837,,,,,,,,,,,
2020-09-28,,3016,,,,,,,,,,,
2020-09-29,,2644,,,,,,,,,,,
2020-09-30,,2896,,,,,,,,,,,
2020-10-01,,2886,,,,,,,,,,,
2020-10-02,,2570,,,,,,,,,,,
2020-10-05,,2537,,,,,,,,,,,
2020-10-06,,2867,,,,,,,,,,,
2020-10-07,,2688,,,,,,,,,,,
2020-10-08,,2504,,,,,,,,,,,
2020-10-09,,2420,,,,,,,,,,,
2020-10-12,,2197,,,,,,,,,,,
2020-10-13,,2167,,,,,,,,,,,
2020-10-14,,2367,,,,,,,,,,,
2020-10-15,,2102,,,,,,,,,,,
2020-10-16,,1974,,,,,,,,,,,
2020-10-19,,2119,,,,,,,,,,,
2020-10-20,,2507,,,,,,,,,,,
2020-10-21,,2489,,,,,,,,,,,
2020-10-22,,2286,,,,,,,,,,,
2020-10-23,,2784,,,,,,,,,,,
2020-10-26,,2726,,,,,,,,,,,
2020-10-27,,2067,,,,,,,,,,,
2020-10-28,,1902,,,,,,,,,,,
2020-10-29,,1891,,,,,,,,,,,
2020-10-30,,1773,,,,,,,,,,,
2020-11-02,,1709,,,,,,,,,,,
2020-11-03,,2077,,,,,,,,,,,
2020-11-05,,2807,,,,,,,,,,,
2020-11-06,,3347,,,,,,,,,,,
2020-11-09,,5156,,,,,,,,,,,
2020-11-10,,4895,,,,,,,,,,,
2020-11-11,,5492,,,,,,,,,,,
2020-11-12,,5404,,,,,,,,,,,
2020-11-13,,4923,,,,,,,,,,,
2020-11-16,,5775,,,,,,,,,,,
2020-11-17,,5825,,,,,,,,,,,
2020-11-18,,5650,,,,,,,,,,,
2020-11-19,,5185,,,,,,,,,,,
2020-11-20,,4898,,,,,,,,,,,
2020-11-23,,5027,,,,,,,,,,,
2020-11-24,,5690,,,,,,,,,,,
2020-11-25,,6075,,,,,,,,,,,
2020-11-26,,6114,,,,,,,,,,,
2020-11-27,,6109,,,,,,,,,,,
2020-11-30,,5956,,,,,,,,,,,
2020-12-01,,6834,,,,,,,,,,,
2020-12-02,,7313,,,,,,,,,,,
2020-12-03,,7240,,,,,,,,,,,
2020-12-04,,8005,,,,,,,,,,,
2020-12-07,,8546,,,,,,,,,,,
2020-12-08,,8434,,,,,,,,,,,
2020-12-09,,8774,,,,,,,,,,,
2020-12-10,,8950,,,,,,,,,,,
2020-12-11,,9142,,,,,,,,,,,
2020-12-14,,8661,,,,,,,,,,,
2020-12-15,,8392,,,,,,,,,,,
2020-12-16,,8576,,,,,,,,,,,
2020-12-17,,8539,,,,,,,,,,,
2020-12-18,,7912,,,,,,,,,,,
2020-12-21,,6842,,,,,,,,,,,
2020-12-22,,7265,,,,,,,,,,,
2020-12-23,,7789,,,,,,,,,,,
2020-12-24,,7782,,,,,,,,,,,
2020-12-25,,7950,,,,,,,,,,,
2020-12-28,,8388,,,,,,,,,,,
2020-12-29,,8156,,,,,,,,,,,
2020-12-30,,7975,,,,,,,,,,,
2021-01-04,,8328,,,,,,,,,,,
2021-01-05,,8256,,,,,,,,,,,
2021-01-06,,8182,,,,,,,,,,,
2021-01-08,,9061,,,,,,,,,,,
2021-01-11,,9778,,,,,,,,,,,
2021-01-12,,9654,,,,,,,,,,,
2021-01-13,,9190,,,,,,,,,,,
2021-01-14,,9196,,,,,,,,,,,
2021-01-15,,8496,,,,,,,,,,,
2021-01-18,,8770,,,,,,,,,,,
2021-01-19,,8495,,,,,,,,,,,
2021-01-20,,8645,,,,,,,,,,,
2021-01-21,,8147,,,,,,,,,,,
2021-01-22,,7511,,,,,,,,,,,
2021-01-25,,7216,,,,,,,,,,,
2021-01-26,,7506,,,,,,,,,,,
2021-01-27,,7441,,,,,,,,,,,
2021-01-28,,7197,,,,,,,,,,,
2021-01-29,,6544,,,,,,,,,,,
2021-02-01,,6936,,,,,,,,,,,
2021-02-02,,7373,,,,,,,,,,,
2021-02-03,,6837,,,,,,,,,,,
2021-02-04,,7446,,,,,,,,,,,
2021-02-05,,7764,,,,,,,,,,,
2021-02-08,,8100,,,,,,,,,,,
2021-02-09,,7430,,,,,,,,,,,
2021-02-10,,7225,,,,,,,,,,,
2021-02-11,,7114,,,,,,,,,,,
2021-02-12,,6901,,,,,,,,,,,
2021-02-15,,7593,,,,,,,,,,,
