date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2020-06-26,,12810,,,,,,,,,,,
2020-06-29,,12228,,,,,,,,,,,
2020-06-30,,12708,,,,,,,,,,,
2020-07-02,,12600,,,,,,,,,,,
2020-07-03,,12546,,,,,,,,,,,
2020-07-06,,12109,,,,,,,,,,,
2020-07-07,,12433,,,,,,,,,,,
2020-07-08,,12633,,,,,,,,,,,
2020-07-09,,12374,,,,,,,,,,,
2020-07-10,,12206,,,,,,,,,,,
2020-07-13,,12041,,,,,,,,,,,
2020-07-14,,11802,,,,,,,,,,,
2020-07-15,,11608,,,,,,,,,,,
2020-07-16,,11447,,,,,,,,,,,
2020-07-17,,11606,,,,,,,,,,,
2020-07-20,,11396,,,,,,,,,,,
2020-07-21,,10876,,,,,,,,,,,
2020-07-22,,11033,,,,,,,,,,,
2020-07-23,,11527,,,,,,,,,,,
2020-07-24,,11196,,,,,,,,,,,
2020-07-27,,11030,,,,,,,,,,,
2020-07-28,,11199,,,,,,,,,,,
2020-07-29,,10976,,,,,,,,,,,
2020-07-30,,10773,,,,,,,,,,,
2020-07-31,,10624,,,,,,,,,,,
2020-08-03,,9755,,,,,,,,,,,
2020-08-04,,9989,,,,,,,,,,,
2020-08-05,,10346,,,,,,,,,,,
2020-08-06,,10589,,,,,,,,,,,
2020-08-07,,9989,,,,,,,,,,,
2020-08-10,,10130,,,,,,,,,,,
2020-08-11,,9197,,,,,,,,,,,
2020-08-12,,9014,,,,,,,,,,,
2020-08-13,,9131,,,,,,,,,,,
2020-08-14,,8894,,,,,,,,,,,
2020-08-17,,9302,,,,,,,,,,,
2020-08-18,,9095,,,,,,,,,,,
2020-08-19,,8848,,,,,,,,,,,
2020-08-20,,9601,,,,,,,,,,,
2020-08-21,,9841,,,,,,,,,,,
2020-08-24,,9825,,,,,,,,,,,
2020-08-25,,10138,,,,,,,,,,,
2020-08-26,,10116,,,,,,,,,,,
2020-08-27,,10140,,,,,,,,,,,
2020-08-28,,10117,,,,,,,,,,,
2020-08-31,,10157,,,,,,,,,,,
2020-09-01,,9956,,,,,,,,,,,
2020-09-02,,10605,,,,,,,,,,,
2020-09-03,,11296,,,,,,,,,,,
2020-09-04,,10631,,,,,,,,,,,
2020-09-07,,10578,,,,,,,,,,,
2020-09-08,,11013,,,,,,,,,,,
2020-09-09,,11019,,,,,,,,,,,
2020-09-10,,10935,,,,,,,,,,,
2020-09-11,,11302,,,,,,,,,,,
2020-09-14,,10580,,,,,,,,,,,
2020-09-15,,10025,,,,,,,,,,,
2020-09-16,,10107,,,,,,,,,,,
2020-09-17,,9906,,,,,,,,,,,
2020-09-18,,10325,,,,,,,,,,,
2020-09-21,,10556,,,,,,,,,,,
2020-09-22,,10544,,,,,,,,,,,
2020-09-23,,10273,,,,,,,,,,,
2020-09-24,,10390,,,,,,,,,,,
2020-09-25,,10835,,,,,,,,,,,
2020-09-28,,10897,,,,,,,,,,,
2020-09-29,,11139,,,,,,,,,,,
2020-09-30,,11040,,,,,,,,,,,
2020-10-01,,10685,,,,,,,,,,,
2020-10-02,,11284,,,,,,,,,,,
2020-10-05,,11047,,,,,,,,,,,
2020-10-06,,10647,,,,,,,,,,,
2020-10-07,,10989,,,,,,,,,,,
2020-10-08,,11154,,,,,,,,,,,
2020-10-09,,11359,,,,,,,,,,,
2020-10-12,,11399,,,,,,,,,,,
2020-10-13,,11277,,,,,,,,,,,
2020-10-14,,11215,,,,,,,,,,,
2020-10-15,,11616,,,,,,,,,,,
2020-10-16,,11854,,,,,,,,,,,
2020-10-19,,11524,,,,,,,,,,,
2020-10-20,,11150,,,,,,,,,,,
2020-10-21,,11113,,,,,,,,,,,
2020-10-22,,11225,,,,,,,,,,,
2020-10-23,,10645,,,,,,,,,,,
2020-10-26,,10745,,,,,,,,,,,
2020-10-27,,11214,,,,,,,,,,,
2020-10-28,,11637,,,,,,,,,,,
2020-10-29,,11673,,,,,,,,,,,
2020-10-30,,11887,,,,,,,,,,,
2020-11-02,,12005,,,,,,,,,,,
2020-11-03,,11283,,,,,,,,,,,
2020-11-05,,10602,,,,,,,,,,,
2020-11-06,,10725,,,,,,,,,,,
2020-11-09,,10002,,,,,,,,,,,
2020-11-10,,9323,,,,,,,,,,,
2020-11-11,,8734,,,,,,,,,,,
2020-11-12,,8660,,,,,,,,,,,
2020-11-13,,8779,,,,,,,,,,,
2020-11-16,,8241,,,,,,,,,,,
2020-11-17,,8599,,,,,,,,,,,
2020-11-18,,8597,,,,,,,,,,,
2020-11-19,,8738,,,,,,,,,,,
2020-11-20,,8750,,,,,,,,,,,
2020-11-23,,8802,,,,,,,,,,,
2020-11-24,,8114,,,,,,,,,,,
2020-11-25,,7712,,,,,,,,,,,
2020-11-26,,7548,,,,,,,,,,,
2020-11-27,,7949,,,,,,,,,,,
2020-11-30,,7574,,,,,,,,,,,
2020-12-01,,7211,,,,,,,,,,,
2020-12-02,,7180,,,,,,,,,,,
2020-12-03,,7198,,,,,,,,,,,
2020-12-04,,6610,,,,,,,,,,,
2020-12-07,,6260,,,,,,,,,,,
2020-12-08,,6218,,,,,,,,,,,
2020-12-09,,5941,,,,,,,,,,,
2020-12-10,,5680,,,,,,,,,,,
2020-12-11,,5395,,,,,,,,,,,
2020-12-14,,5426,,,,,,,,,,,
2020-12-15,,5931,,,,,,,,,,,
2020-12-16,,5543,,,,,,,,,,,
2020-12-17,,5357,,,,,,,,,,,
2020-12-18,,5857,,,,,,,,,,,
2020-12-21,,6742,,,,,,,,,,,
2020-12-22,,6346,,,,,,,,,,,
